Category,Link
2000 US VCs,https://lnkd.in/dfv2cGAu
Best European VC funds,https://lnkd.in/d4HYVnhF
Best family offices around the world,https://lnkd.in/dBPm4Hwf
Corporate venture arms,https://lnkd.in/dtTSzYKw
750+ seed funds list,https://lnkd.in/dgEhQEhP
100 VC firms investing in SaaS,https://lnkd.in/dxHKeEVC
100 best VC funds in the UK,https://lnkd.in/dVUd7Kaz
250 US AI Angel Investors,https://lnkd.in/dYcViy3e
300 Australian Early-Stage Investors,https://lnkd.in/dhHSmR9v
350 Most Active Angel Investors in the US,https://lnkd.in/d9qudT_7
900 Climate VCs,https://lnkd.in/d2EaapPS
All accelerators by number of investments,https://lnkd.in/d-PNGQWz
Data investors in Asia,https://lnkd.in/ddtATVwc
Early-stage web3 investors,https://lnkd.in/dra5rbkr
French VCs,https://lnkd.in/dZd8kgqe
Gen AI Investors in Asia,https://lnkd.in/dkQ7_fWe
List of VCs Investing in India,https://lnkd.in/dXUYyWyS
Top 100 Pension Funds in the World,https://lnkd.in/dbuPxtY8
Top 100 Venture Funds by Number of Investments,https://lnkd.in/dNNJ6pJk
Top 300 Angel Investors in the Middle East,https://lnkd.in/d2SCsyxF
VCs by Stage: Pre-Seed,https://lnkd.in/gnxYgFF8
VCs by Stage: Seed,https://lnkd.in/g7rntFQa
VCs by Stage: Seed & Series A,https://lnkd.in/gU_PZwra
VCs by Stage: Below 200 Million,https://lnkd.in/g4QhNsjV
VCs by Location: US VCs,https://lnkd.in/gDcKfxwD
VCs by Location: NYC VCs,https://lnkd.in/gMKTstBz
VCs by Location: European VCs,https://lnkd.in/gZC4qqxW
VCs by Location: UK VCs,https://lnkd.in/gkPYUKH3
VCs by Location: French VCs,https://lnkd.in/g2bHpUYd
VCs by Location: Spanish VCs,https://lnkd.in/gBD_7rRY
VCs by Location: Baltic VCs,https://lnkd.in/gx2iHdDS
VCs by Location: Australian VCs,https://lnkd.in/gbFnpmRX
VCs by Location: Indian VCs,https://lnkd.in/durcuiUw
VCs by Location: Singapore VCs,https://mapofthemoney.com/
VCs by Industry: Climate VCs,https://lnkd.in/d__3NqRC
VCs by Industry: Deep Tech VCs,https://lnkd.in/gqTqjKJu
VCs by Industry: HealthTech VCs,https://lnkd.in/gMWDprYC
VCs by Industry: Consumer VCs,https://lnkd.in/ganPEBgV
VCs by Industry: FinTech VCs,https://lnkd.in/gWFADRuP
Angels: US Founders Investing,https://lnkd.in/gHtZZY2y
Angels: SaaS Angels,https://lnkd.in/g3z9sBAE
Angels: US Women,https://lnkd.in/gd4JefpG
Angels: Global Women,https://lnkd.in/gYAW3avh
Angels: Australia,https://lnkd.in/gxYmwaTb
Angels: Africa,https://lnkd.in/g3z-cx6z
Angels: Middle East,https://lnkd.in/ghZ5PeQF
Accelerators: Every Accelerator,https://lnkd.in/dncseAmE
